sub_niche,parent_lane,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate_pct,median_estimated_value,award_value_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,ai_leverage_1_5,subcontractability_1_5,delivery_gate_risk_1_5,working_capital_risk_1_5,ticket_fit_1_5,competition_fit_1_5,recurrence_fit_1_5,fragmentation_fit_1_5,spm_hunt_score,market_motion
FR · Branded textiles / apparel,PROMO_BROKER,France,FRANCE,OPEN_PUBLIC,EUR,37,34,2,5.88,,4,1185000.0,1950000.0,76800000.0,0,,,13,9.09,853.99,1.5,5.0,3.5,4.0,2.5,3.0,1.7058823529411764,4.590909090909091,59.67,OPEN_HUNT
DE · Website relaunch / development,WEB_DIGITAL,Germany,GERMANY,OPEN_PUBLIC,EUR,83,10,0,0.0,331932.0,1,11088757.81,11088757.81,11088757.81,3,6.0,33.33,6,28.57,1836.73,5.0,3.0,2.5,1.0,1.5,3.0,1.0,2.6428571428571432,58.47,OPEN_HUNT
DE · TYPO3 / Drupal / WordPress CMS,WEB_DIGITAL,Germany,GERMANY,COMPETITIVE_OTHER,EUR,9,6,0,0.0,480000.0,3,1000000.0,1400000.0,5753315.315,2,4.0,0.0,5,20.0,2000.0,5.0,3.0,2.5,1.0,4.0,3.0,1.0,3.5,57.74,OPEN_HUNT
DE · Website hosting / operation,WEB_DIGITAL,Germany,GERMANY,COMPETITIVE_OTHER,EUR,7,5,0,0.0,1151579.83,2,805441.2175,1350882.435,1896323.6525,3,1.0,66.67,3,33.33,3333.33,5.0,3.0,2.5,1.0,4.0,3.0,1.0,3.0,55.59,OPEN_HUNT
FR · Stenotypy / stenography,LANGUAGE,France,FRANCE,COMPETITIVE_OTHER,EUR,3,3,0,0.0,,1,60000.0,60000.0,60000.0,0,,,1,100.0,10000.0,4.5,4.0,4.5,1.5,5.0,3.0,1.0,3.0,53.69,OPEN_HUNT
FR · Web accessibility / RGAA-WCAG,WEB_DIGITAL,France,FRANCE,OPEN_PUBLIC,EUR,3,3,0,0.0,,1,600000.0,600000.0,600000.0,0,,,1,100.0,10000.0,5.0,3.0,2.5,1.0,4.0,3.0,1.0,3.0,52.49,OPEN_HUNT
DE · Web accessibility / Barrierefreiheit,WEB_DIGITAL,Germany,GERMANY,COMPETITIVE_OTHER,EUR,3,2,0,0.0,,1,1200520.0,1200520.0,1200520.0,1,5.0,0.0,1,100.0,10000.0,5.0,3.0,2.5,1.0,4.0,3.0,1.0,3.0,52.25,OPEN_HUNT
FR · Municipal/public magazine printing,PRINT_BROKER,France,FRANCE,COMPETITIVE_OTHER,EUR,10,10,0,0.0,,0,,,,0,,,1,100.0,10000.0,2.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,49.58,OPEN_HUNT
FR · Forms / stationery / cards printing,PRINT_BROKER,France,FRANCE,COMPETITIVE_OTHER,EUR,8,8,0,0.0,,0,,,,0,,,1,100.0,10000.0,2.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,47.87,OPEN_HUNT
FR · Promotional objects / branded goods,PROMO_BROKER,France,FRANCE,COMPETITIVE_OTHER,EUR,10,10,0,0.0,,0,,,,0,,,,,,1.5,5.0,3.5,4.0,3.0,3.0,1.0,3.0,47.68,OPEN_HUNT
FR · Branded textiles / apparel,PROMO_BROKER,France,FRANCE,COMPETITIVE_OTHER,EUR,8,8,0,0.0,,0,,,,0,,,1,100.0,10000.0,1.5,5.0,3.5,4.0,3.0,3.0,1.0,3.0,45.97,OPEN_HUNT
