micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Website design / redesign / development,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,15,14,1,7.14,250000.0,7,37094.0,42075.0,65667.0,2,3.0,50.0,7,14.29,1428.57,66.24,OTHER_ROUTE
Website maintenance / hosting / support,Belgium,BE,UNKNOWN,UNKNOWN,60,58,2,3.45,,0,,,,0,,,,,,66.17,OTHER_ROUTE
Website maintenance / hosting / support,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,7,5,1,20.0,,3,197722.175,229758.1,253194.675,0,,,3,33.33,3333.33,65.56,OPEN_BID
Software licence renewal / licensing,France,FRANCE,OPEN_PUBLIC,EUR,20,19,1,5.26,,6,806000.5599999999,985000.0,1142500.0,0,,,5,33.33,2222.22,65.45,OPEN_BID
Translation services,TED,ITA,UNKNOWN,EUR,18,1,1,100.0,744000.0,6,190600.0,289833.88,479839.69,4,1.5,50.0,4,50.0,3333.33,65.44,OTHER_ROUTE
Transcription / speech-to-text,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,17,15,2,13.33,1105000.0,11,855000.0,2100000.0,3500000.0,12,9.5,8.33,14,14.29,790.82,65.17,OPEN_BID
SaaS / cloud software subscription,Canada federal,CANADA,OPEN_PUBLIC,CAD,9,2,1,50.0,,1,43907.94,43907.94,43907.94,0,,,1,100.0,10000.0,65.12,OPEN_BID
Mailing / fulfilment / routing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,9,3,2,66.67,,11,23876.33,37891.17,56796.78,11,1.0,100.0,5,45.45,2892.56,65.02,DIRECT_BUYER
Social media / community management,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,6,5,1,20.0,,6,39796.25,45799.0,50749.5,0,,,5,33.33,2222.22,64.85,OPEN_BID
Graphic design / DTP / visual identity,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,5,4,1,25.0,50000.0,5,30000.0,45000.0,49999.0,0,,,3,50.0,3750.0,64.81,OPEN_BID
Video production / editing / motion,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,5,4,1,25.0,,3,28833.0,36000.0,42624.65,0,,,5,20.0,2000.0,64.51,OPEN_BID
Translation services,Ireland,IRELAND,OPEN_PUBLIC,EUR,7,6,1,16.67,1180000.0,3,307000.0,600000.0,800000.0,3,4.0,0.0,3,33.33,3333.33,64.37,OPEN_BID
Website maintenance / hosting / support,France,FRANCE,UNKNOWN,EUR,15,14,1,7.14,,4,168797.0025,221768.83500000002,678500.0,0,,,4,25.0,2500.0,64.28,OTHER_ROUTE
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,10,8,2,25.0,,9,20200.0,29400.0,43500.0,0,,,10,10.0,1000.0,63.84,DIRECT_BUYER
Video production / editing / motion,Germany,GERMANY,COMPETITIVE_OTHER,EUR,7,3,2,66.67,305600.0,2,478796.25,728887.5,978978.75,2,2.5,0.0,2,50.0,5000.0,63.8,OPEN_BID
Mailing / fulfilment / routing,France,FRANCE,COMPETITIVE_OTHER,EUR,16,15,1,6.67,,2,56181.88,56457.259999999995,56732.64,0,,,2,66.67,5555.56,63.77,OPEN_BID
Social media / community management,Germany,GERMANY,OPEN_PUBLIC,EUR,23,5,0,0.0,500000.5,1,990000.0,990000.0,990000.0,2,0.0,0.0,1,100.0,10000.0,63.73,OPEN_BID
Graphic design / DTP / visual identity,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,4,3,1,33.33,,3,66969.45,114615.9,676300.255,0,,,2,66.67,5555.56,63.72,OPEN_BID
Market research / surveys / polling,France,FRANCE,UNKNOWN,EUR,9,7,2,28.57,,2,422496.0,444992.0,467488.0,0,,,1,100.0,10000.0,63.51,OTHER_ROUTE
Transcription / speech-to-text,France,FRANCE,UNKNOWN,EUR,9,8,1,12.5,,4,275000.0,380000.0,700000.0,0,,,1,100.0,10000.0,63.45,OTHER_ROUTE
Translation services,TED,LUX,UNKNOWN,EUR,29,1,1,100.0,7000000.0,3,6.61,12.56,13.14,0,,,2,66.67,5555.56,63.27,OTHER_ROUTE
Mailing / fulfilment / routing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,10,10,0,0.0,500000.0,4,145046.5,205531.0,255000.0,5,7.0,0.0,9,16.67,1458.33,63.03,OPEN_BID
