warehouse_source,country,route_band,records,buyers,known_lane,open_world_candidates,median_value,avg_priority
TED,CR,UNKNOWN,1,1,0,0,,41.0
TED,CUB,UNKNOWN,1,1,0,0,2150000.0,52.28
TED,JAM,UNKNOWN,1,1,0,0,1000000.0,51.8
TED,URY,UNKNOWN,1,1,0,0,4340000.0,52.28
TED,CL,UNKNOWN,1,1,0,0,,41.0
TED,GMB,UNKNOWN,1,1,0,0,,41.0
TED,VEN,UNKNOWN,1,1,0,0,7380000.0,52.28
TED,GA,UNKNOWN,1,1,0,0,2000000.0,53.68
TED,LS,UNKNOWN,1,1,0,1,2461250.0,60.34
TED,AX,UNKNOWN,1,1,0,0,,36.5
TED,PY,UNKNOWN,1,1,0,0,4367120.0,55.78
TED,SC,UNKNOWN,1,1,0,1,155024.75,51.1
TED,ML,UNKNOWN,1,1,0,1,1500000.0,58.46
TED,HT,UNKNOWN,1,1,0,0,16600000.0,57.18
TED,DZA,UNKNOWN,1,1,0,0,594000000.0,54.98
TED,JM,UNKNOWN,1,1,0,1,450000.0,60.96
TED,TWN,UNKNOWN,1,1,0,0,9000000.0,52.28
TED,SLV,UNKNOWN,1,1,0,0,4000000.0,52.28
TED,MV,UNKNOWN,1,1,0,1,15850201.91,62.44
TED,NA,UNKNOWN,1,1,0,0,,35.6
TED,AZE,UNKNOWN,1,1,0,0,2680000.0,52.28
TED,TL,UNKNOWN,1,1,0,0,,41.0
TED,MNG,UNKNOWN,1,1,0,1,749650.0,58.46
TED,FJ,UNKNOWN,1,1,0,1,436628.82,60.96
TED,TTO,UNKNOWN,1,1,0,0,1220000.0,51.8
TED,AZ,UNKNOWN,1,1,0,0,2534165.0,53.68
