warehouse_source,country,broad_family,code,title_signature,records,median_value,median_bidders,avg_priority
USASPENDING_V1,USA,Document / data processing,541511,"cms initiated a competitive procurement in <n> to develop a new system, the drug data processing system (ddps) to implem",1,2182855.58,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541519,"o&m support for the national archives and records administration's highview systems (addres, urts, and stairs)",1,6843034.67,1.0,69.34
USASPENDING_V1,USA,Document / data processing,518210,data extract and reporting,1,2575296.18,1.0,69.34
USASPENDING_V1,USA,Document / data processing,493120,management and support of an archives and repository contract (aarc) for the national toxicology program (ntp) and the n,1,28371382.29,1.0,69.34
USASPENDING_V1,USA,Document / data processing,561210,inventory and records management services,1,2016389.37,1.0,69.34
USASPENDING_V1,USA,Document / data processing,518210,private medical records retrieval services,1,25341855.19,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541519,scanning&indexing of medical records services,1,12090307.57,1.0,69.34
USASPENDING_V1,USA,Document / data processing,561990,"provide planning and analysis support, acquisition and financial assistance systems support, mailroom operations support",1,3522680.56,1.0,69.34
USASPENDING_V1,USA,Document / data processing,518210,email enterprise records and document management system,1,40203068.49,1.0,69.34
USASPENDING_V1,USA,Document / data processing,221310,new water and sewer contract at archives ii.,1,2954284.58,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541611,call order for national records management program support for office of mission support (oms) under bpa <n>herc<n>a<n>,1,2845272.84,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541330,document management services,1,2558313.48,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541511,"data enclave of university of chicago to usda clients who are accessing confidential and sensitive data, including arms,",1,2678591.8,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541519,vulnerability scanning service,1,2462244.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,561990,"new contract for mail services at archives i, ii, suitland, and federal register.",1,3577144.95,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541513,electronic document and records management system edrms at fema headquarters and the <n> regions.,1,2959710.79,1.0,69.34
USASPENDING_V1,USA,Document / data processing,334111,procurement of on site technical support services for united states army records management declassification agency (rmd,1,49513909.1,1.0,69.34
USASPENDING_V1,USA,Document / data processing,518210,document processing center (dpc) support services,1,3564199.14,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541512,firm fixed price award cber document control center and records management services   cor: richard thomas richard.thomas,1,5249642.37,1.0,69.34
USASPENDING_V1,USA,Document / data processing,518210,toxic inhalation hazard (tih)/rail security-sensitive material (rssm) railcar car location message (clm) and global posi,1,7374480.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,511210,skillsoft leadership development program (sldp) and digital transformation (dt) bundled solution,1,2228884.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541611,soaps to<n> - records management services,1,12576620.24,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541512,provide data processing support services,1,3592599.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,518210,housing transaccess support (hts),1,2909051.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541715,"national addiction and hiv data archive program. april <n>, <n> - march <n>, <n>. n<n>da-<n>-<n>.base award.",1,5310953.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541690,digital asset management solution dams to <n>,1,5312561.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541511,igf::ot::igf ogc case and document management system (cdms),1,5149662.09,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541690,child and family data archive,1,3973951.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541519,agency support for records management program,1,5558344.22,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541519,this is a continued contract iaw dfars <n>.<n>(c)(i) and replaces contract w<n>l<n>c<n> for the exercise of option perio,1,3499510.68,1.0,69.34
USASPENDING_V1,USA,Document / data processing,624230,"direct care services (dcs) including all personnel, services, and resources necessary to provide for icf based care and ",1,11116068.7,1.0,69.34
USASPENDING_V1,USA,Document / data processing,334516,acquisition of an aberration corrected scanning and transmission electron microscope stem for the analysis of astromater,1,4872674.0,1.0,69.34
USASPENDING_V1,USA,Document / data processing,518210,records management production processing and scanning support,1,16780641.89,1.0,69.34
USASPENDING_V1,USA,Document / data processing,541611,archivist and records management services,1,691901.88,1.0,68.86
USASPENDING_V1,USA,Document / data processing,541618,usda/oascr: center for civil rights operations (ccro)/ data and records management division (drmd)/ compliance and polic,1,1744756.0,1.0,68.86
USASPENDING_V1,USA,Document / data processing,518210,"records management, records storage and release of information services for vapahcs.",1,1585905.01,1.0,68.86
USASPENDING_V1,USA,Document / data processing,541519,sharepoint technical support,1,511527.89,1.0,68.86
