lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
Graphic design / layout / DTP,DIRECT_NONCOMPETITIVE,CAD,69,44,37706.25,28000.0,50000.0,1.0,77.20695652173913
Printing / mailing / routing,LIMITED_INVITATION,CAD,69,34,38846.0,26878.5,56102.05,1.0,77.01565217391304
Document digitization / OCR / scanning,DIRECT_NONCOMPETITIVE,CAD,69,57,57171.0,33750.0,90960.0,1.0,80.06695652173913
Printing / mailing / routing,OPEN_PUBLIC,GBP,68,62,296105.4,159921.5,1325000.0,6.5,78.36647058823529
Software licences / SaaS resale,COMPETITIVE_OTHER,GBP,67,53,63557.534999999996,31482.675,1192745.2999999998,4.0,73.08328358208955
Courier / mail fulfilment,OPEN_PUBLIC,EUR,67,54,221000.0,50000.0,1000000.0,2.0,59.25402985074627
Training / e-learning,DIRECT_NONCOMPETITIVE,CAD,66,46,43690.0,33311.5,88099.0,1.0,72.59454545454545
Training / e-learning,OPEN_PUBLIC,CAD,65,38,249454.435,95679.5,696623.4375,5.0,69.98246153846154
Software licences / SaaS resale,DIRECT_NONCOMPETITIVE,EUR,64,51,351862.0,1.0,1244075.0,1.0,73.72875
Uniforms / PPE resale,UNKNOWN,RON,63,27,1070329.845,252250.0,2444107.535,2.0,70.84222222222222
Translation,DIRECT_NONCOMPETITIVE,GBP,62,49,120000.0,48000.0,399606.0,2.0,79.18354838709678
Survey / market research,DIRECT_NONCOMPETITIVE,GBP,62,43,138134.715,47025.0,561105.2875000001,1.0,76.25193548387097
Website / CMS build or redesign,COMPETITIVE_OTHER,GBP,61,38,101888.33499999999,39456.75,1500000.0,3.5,76.5416393442623
Office supplies / consumables resale,UNKNOWN,CZK,59,29,1000000.0,115708.5,5272295.0,2.0,68.99694915254237
Translation,UNKNOWN,GBP,58,51,525000.0,165000.0,6000000.0,37.0,73.66379310344827
Courier / mail fulfilment,UNKNOWN,GBP,57,53,825000.0,76043.25,5625000.0,1.0,60.94210526315789
Social media / community management,DIRECT_NONCOMPETITIVE,GBP,56,51,57750.0,32387.75,108814.375,1.0,76.50392857142857
Document digitization / OCR / scanning,OPEN_PUBLIC,CAD,55,42,223126.105,52150.0,966625.0,2.0,76.91381818181819
Uniforms / PPE resale,COMPETITIVE_OTHER,GBP,54,49,1294549.495,287500.0,3968552.5,4.5,68.64888888888889
Call centre / helpdesk operations,DIRECT_NONCOMPETITIVE,GBP,53,49,300000.0,75000.0,550000.0,1.0,71.39849056603774
Office supplies / consumables resale,OPEN_PUBLIC,GBP,53,48,578587.5,220050.0,4084509.0875,9.0,72.26830188679246
SEO / digital marketing,UNKNOWN,UNKNOWN,51,34,1695402.5,525807.24,2360825.1375,1.25,70.04039215686275
Signage / display production,LIMITED_INVITATION,CAD,51,37,46755.0,32882.065,86328.75,1.0,68.33098039215686
Hardware / AV resale,UNKNOWN,SEK,51,22,7000000.0,4000000.0,21000000.0,2.0,69.06509803921568
Courier / mail fulfilment,DIRECT_NONCOMPETITIVE,GBP,49,38,120000.0,46700.0,395000.0,1.0,63.83061224489796
Social media / community management,UNKNOWN,GBP,45,37,320000.0,40000.0,7000000.0,,73.63733333333333
Recruitment / temporary staffing,OPEN_PUBLIC,CAD,45,23,286119.39,96930.455,1316143.335,6.0,60.01111111111111
Website / CMS build or redesign,LIMITED_INVITATION,CAD,42,40,44754.195,36879.495,57537.8025,2.0,77.3547619047619
Graphic design / layout / DTP,OPEN_PUBLIC,GBP,41,39,218028.0,72400.0,650000.0,14.0,77.63804878048781
Survey / market research,LIMITED_INVITATION,CAD,40,22,54315.0,36306.25,72123.43000000001,1.0,69.087
Document digitization / OCR / scanning,OPEN_PUBLIC,GBP,40,34,1000000.0,239137.5,14166667.0,4.0,80.2065
Office supplies / consumables resale,UNKNOWN,NOK,40,33,11600000.0,5900000.0,20925000.0,2.0,68.583
Website support / accessibility / hosting,DIRECT_NONCOMPETITIVE,EUR,38,15,280000.0,110500.5,1201742.05,1.0,74.04157894736842
Uniforms / PPE resale,LIMITED_INVITATION,CAD,38,29,48174.275,32541.75,69308.225,1.0,66.61684210526316
Document digitization / OCR / scanning,UNKNOWN,GBP,37,30,450000.0,125000.0,12143944.8,,70.37351351351352
Video production / post-production,DIRECT_NONCOMPETITIVE,CAD,37,26,38500.0,28775.5,50000.0,1.0,73.7545945945946
Cloud / hosting / managed IT,DIRECT_NONCOMPETITIVE,GBP,36,34,344892.0,91000.0,1000000.0,1.0,66.47611111111111
Hardware / AV resale,FRAMEWORK_DPS_CALLOFF,GBP,35,29,180000.0,104743.42,1838841.0,,65.35771428571428
Social media / community management,COMPETITIVE_OTHER,GBP,35,32,41600.0,34225.0,210629.5,8.0,72.24285714285715
Software licences / SaaS resale,UNKNOWN,NOK,34,27,31944186.5,7250000.0,114500000.0,3.0,77.49882352941177
OTHER / OPEN WORLD,UNKNOWN,UAH,34,19,19935538.665,11614023.692499999,32281200.0,1.0,53.902352941176474
Office supplies / consumables resale,OPEN_PUBLIC,CAD,34,19,157997.63,100051.795,1224868.81,2.0,68.06529411764706
Event support / production,UNKNOWN,GBP,34,29,250000.0,41666.66,5000000.0,,60.24470588235294
Translation,COMPETITIVE_OTHER,CAD,34,12,195549.22,90212.26000000001,423395.4375,,72.30588235294118
Graphic design / layout / DTP,OPEN_PUBLIC,CAD,33,31,122550.0,33900.0,180000.0,6.0,72.87757575757576
Office supplies / consumables resale,UNKNOWN,RON,33,23,252288.0,49586.77,926839.47,2.0,67.03515151515151
SEO / digital marketing,OPEN_PUBLIC,GBP,31,29,390575.0,134600.715,525000.0,10.0,77.96903225806452
Survey / market research,COMPETITIVE_OTHER,GBP,31,29,125000.0,66505.0,1900000.0,3.0,70.65741935483871
Printing / mailing / routing,UNKNOWN,NOK,31,26,6000000.0,4200000.0,8000000.0,3.0,79.49225806451614
Office supplies / consumables resale,UNKNOWN,GBP,31,25,4300000.0,250833.33,27500000.0,10.5,66.03290322580645
