warehouse_source,country,buyer_name,lean_lane,route_band,records,median_value,avg_priority
TED,BGR,ЕЛЕКТРОЕНЕРГИЕН СИСТЕМЕН ОПЕРАТОР ЕАД,OTHER / OPEN WORLD,UNKNOWN,530,261854.83000000002,51.835811320754715
TED,BGR,Електроразпределение Юг ЕАД,OTHER / OPEN WORLD,UNKNOWN,530,214961.71500000003,51.63441509433962
TED,LTU,Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas (PV),OTHER / OPEN WORLD,UNKNOWN,527,1188.0,38.235673624288424
Quebec,Canada - Quebec,Université Concordia,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,526,54250.5,56.064144486692015
TED,LVA,Valsts aizsardzības loģistikas un iepirkumu centrs,OTHER / OPEN WORLD,UNKNOWN,521,371900.83,44.57078694817658
Belgium,BE,Université de Liège (3P),OTHER / OPEN WORLD,UNKNOWN,521,,40.728790786948174
Quebec,Canada - Quebec,Ville de Saguenay,OTHER / OPEN WORLD,OPEN_PUBLIC,520,244219.16499999998,54.02146153846154
TED,LTU,VILNIAUS MIESTO SAVIVALDYBĖS ADMINISTRACIJA,OTHER / OPEN WORLD,UNKNOWN,518,28935.36,47.77976833976834
France,France,Ville de Lyon,OTHER / OPEN WORLD,OPEN_PUBLIC,518,800000.0,46.096177606177605
TED,LVA,Bauskas novada pašvaldība,OTHER / OPEN WORLD,UNKNOWN,517,30032.84,44.472998065764024
Belgium,BE,Infrabel Projects South,OTHER / OPEN WORLD,UNKNOWN,515,,40.4547572815534
Quebec,Canada - Quebec,Ville de Montréal - Service de l'approvisionnement,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,511,68354.395,56.16148727984344
TED,ESP,"Metro de Madrid, S.A.",OTHER / OPEN WORLD,UNKNOWN,510,1000000.0,52.606
Quebec,Canada - Quebec,Réseau de Transport Métropolitain (EXO),OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,509,76515.86,55.690962671905694
Quebec,Canada - Quebec,Centre de services scolaire des Affluents,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,509,38490.0,54.77237721021611
TED,SWE,"Region Skåne, Koncernstab inköp och ekonomistyrning",OTHER / OPEN WORLD,UNKNOWN,508,11000000.0,53.54011811023622
Germany,Germany,"Bundesagentur für Arbeit, Regionales Einkaufszentrum Südwest",OTHER / OPEN WORLD,OPEN_PUBLIC,507,0.01,45.31222879684418
Germany,Germany,"Bundesagentur für Arbeit, Regionales Einkaufszentrum NRW",OTHER / OPEN WORLD,OPEN_PUBLIC,506,0.01,45.35276679841897
France,France,Toulouse Métropole,OTHER / OPEN WORLD,OPEN_PUBLIC,503,364557.2,46.978290258449306
TED,FIN,Varsinais-Suomen hyvinvointialue,OTHER / OPEN WORLD,UNKNOWN,502,556000.0,47.58207171314741
Germany,Germany,"Bundesagentur für Arbeit, Regionales Einkaufszentrum Nord",OTHER / OPEN WORLD,OPEN_PUBLIC,502,0.01,45.94342629482072
United Kingdom,United Kingdom,West Northamptonshire Council,OTHER / OPEN WORLD,OPEN_PUBLIC,502,490.0,36.110478087649405
TED,DNK,Banedanmark,OTHER / OPEN WORLD,UNKNOWN,500,3824912.0,51.68452
TED,POL,PGE Energia Ciepła S.A.,OTHER / OPEN WORLD,UNKNOWN,500,1234745.25,50.2018
TED,POL,KOMENDA GŁÓWNA POLICJI,OTHER / OPEN WORLD,UNKNOWN,497,469070.34,46.668008048289735
TED,CZE,Institut klinické a experimentální medicíny,OTHER / OPEN WORLD,UNKNOWN,496,4040500.0,55.27092741935484
TenderNed,Netherlands,ProRail B.V.,OTHER / OPEN WORLD,UNKNOWN,493,3536640.0,46.88839756592292
Quebec,Canada - Quebec,Centre intégré de santé et de services sociaux de la Montérégie-Centre (CISSS de la Montérégie-Centre),OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,492,80286.245,56.875
TED,LTU,LTG Kompetencijų centras UAB (PV),OTHER / OPEN WORLD,UNKNOWN,490,121720.0,46.697428571428574
