Warehouse_Source,Country,code,description,category,subcategory,lean_fit,automation_potential,records,buyers,first_date,last_date,median_estimated_value,median_bidders,one_bidder_rows
Ireland,Ireland,34962230.0,Air-traffic control training.,Other,Air-traffic control training.,15,20,1,1,2025-05-23,2025-05-23,200000.0,,0
Ireland,Ireland,79341400.0,Advertising campaign services.,Other,Advertising campaign services.,15,20,1,1,2024-04-17,2024-04-17,,,0
Canada federal,Canada,*86101507 *86101604 *86132201,*Fishery vocational training services *Biology vocational training services *Training workshop service,Other,*Fishery vocational training services *Biology vocational training services *Training workshop service,15,20,1,1,2025-12-23,2025-12-23,,,0
United Kingdom,United Kingdom,39144000,Bathroom furniture,Other,Bathroom furniture,15,20,1,1,2025-05-09,2025-05-09,,,0
France,France,"21,66","Audit,Restauration collective",Other,Services,15,20,1,1,2024-06-20,2024-06-20,,,0
Canada federal,Canada,*39112000 *72101518 *72141702 *78141900 *80131505 *80131506,*Portable and Temporary Lighting and accessories *Portable generator rental service *Construction equipment rental or leasing service *Transport container rental services *Portable or modular office rental service *Portable toilet rental service,Other,*Portable and Temporary Lighting and accessories *Portable generator rental service *Construction equipment rental or leasing service *Transport container rental services *Portable or modular office rental service *Portable toilet rental service,15,20,1,1,2026-04-24,2026-04-24,,,0
France,France,"308,19,21,234","Revêtements de sols,Assistance technique,Audit,Mission d'ordonnancement, pilotage, coordination (OPC)",Other,Services,15,20,1,1,2025-04-02,2025-04-02,,,0
Canada federal,Canada,*81112208 *83120000,*Security and protection software maintenance *Information services,Other,*Security and protection software maintenance *Information services,15,20,1,1,2024-11-06,2024-11-06,,,0
Canada federal,Canada,*86132000 *86132100,"*Management education and training services *Training planning, facilitation and delivery services",Other,"*Management education and training services *Training planning, facilitation and delivery services",15,20,1,1,2025-12-12,2025-12-12,,,0
Canada federal,Canada,*80101508 *80160000,*Business intelligence consulting services *Business administration services,Other,*Business intelligence consulting services *Business administration services,15,20,1,1,2024-01-29,2024-01-29,,,0
France,France,79311200,Audit,Other,Services,15,20,1,1,2025-12-19,2025-12-19,,,0
France,France,71312000,Audit,Other,Services,15,20,1,1,2026-07-15,2026-07-15,,,0
France,France,"20,21,433","Assurance,Audit,Assistance à maîtrise d'ouvrage",Other,Services,15,20,1,1,2023-10-20,2023-10-20,,,0
France,France,"163,453,21","Informatique (prestations de services),Informatique (assistance),Audit",Other,Services,15,20,1,1,2024-08-27,2024-08-27,,,0
France,France,"19,21,275,347,434","Assistance technique,Audit,Produits chimiques,Transport,Assistance juridique",Other,Services,15,20,1,1,2024-03-09,2024-03-09,,,0
France,France,71000000,"Audit,Prestations de services",Other,Services,15,20,1,1,2026-06-15,2026-06-15,,,0
United Kingdom,United Kingdom,92111210,Advertising film production,Other,Advertising film production,15,20,1,1,2023-12-14,2023-12-14,,,0
France,France,"9,116,21","Animaux,Espaces verts,Audit",Other,Services,15,20,1,1,2025-12-11,2025-12-11,,,0
France,France,71700000,"Matériel électrique,Chauffage (matériel),Audit",Other,Services,15,20,1,1,2026-05-06,2026-05-06,,,0
Canada federal,Canada,*85110000,*Disease prevention and control,Other,*Disease prevention and control,15,20,1,1,2023-09-14,2023-09-14,,,0
Canada federal,Canada,*81111508 *81111600,*Application implementation services *Computer programmers,Other,*Application implementation services *Computer programmers,15,20,1,1,2025-10-08,2025-10-08,,,0
Canada federal,Canada,*43220000 *43222500 *43230000 *43231500 *43232700 *43232800 *43233200 *81160000 *81161500,*Data Voice or Multimedia Network Equipment or Platforms and Accessories *Network security equipment *Software *Business function specific software *Network applications software *Network management software *Security and protection software *Information Technology Service Delivery *Access management services,Other,*Data Voice or Multimedia Network Equipment or Platforms and Accessories *Network security equipment *Software *Business function specific software *Network applications software *Network management software *Security and protection software *Information Technology Service Delivery *Access management services,15,20,1,1,2025-08-22,2025-08-22,,,0
Canada federal,Canada,*72110000 *72121103 *72130000 *72131500 *72131501 *72153605 *72153611,*Residential building construction services *Commercial and office building renovation and repair service *General building construction *Residential construction *Apartment construction *Kitchen and bathroom remodeling service *Kitchen cabinet installation service,Other,*Residential building construction services *Commercial and office building renovation and repair service *General building construction *Residential construction *Apartment construction *Kitchen and bathroom remodeling service *Kitchen cabinet installation service,15,20,1,1,2025-12-03,2025-12-03,,,0
Canada federal,Canada,*80101508 *80111614 *80151605 *81100000 *81101508 *81101515 *81101516 *81101800 *81101802 *81102502,*Business intelligence consulting services *Temporary engineering services *Customs consulting service *Professional engineering services *Architectural engineering *Plant or facility infrastructure engineering *Energy or utility consulting service *Chemical engineering *Chemical process engineering service *Building consent and permit engineering peer review service,Other,*Business intelligence consulting services *Temporary engineering services *Customs consulting service *Professional engineering services *Architectural engineering *Plant or facility infrastructure engineering *Energy or utility consulting service *Chemical engineering *Chemical process engineering service *Building consent and permit engineering peer review service,15,20,1,1,2024-12-03,2024-12-03,,,0
Canada federal,Canada,*80100000 *80101512 *80111502 *80160000 *84131701,*Management advisory services *Actuarial consulting services *Compensation or benefits planning *Business administration services *Employer administered pension funds,Other,*Management advisory services *Actuarial consulting services *Compensation or benefits planning *Business administration services *Employer administered pension funds,15,20,1,1,2025-02-21,2025-02-21,,,0
Canada federal,Canada,*25173900 *26120000 *26121500 *26121600 *39120000 *39121300 *39121400 *39121500 *39121700,*Electrical components *Electrical wire and cable and harness *Electrical wire *Electrical cable and accessories *Electrical equipment and components and supplies *Electrical boxes and enclosures and fittings and accessories *Electrical lugs plugs and connectors *Electrical controls and accessories *Electrical hardware and supplies,Other,*Electrical components *Electrical wire and cable and harness *Electrical wire *Electrical cable and accessories *Electrical equipment and components and supplies *Electrical boxes and enclosures and fittings and accessories *Electrical lugs plugs and connectors *Electrical controls and accessories *Electrical hardware and supplies,15,20,1,1,2025-07-31,2025-07-31,,,0
Canada federal,Canada,*22101900 *30190000 *72121100 *72130000 *72151200 *72151201 *72151205 *72151207,*Building construction machinery and accessories *Construction and maintenance support equipment *Commercial and office building construction services *General building construction *Heating and cooling and air conditioning HVAC construction and maintenance services *HVAC mechanical construction service *HVAC refrigeration construction service *Heating and cooling and air conditioning HVAC installation and maintenance service,Other,*Building construction machinery and accessories *Construction and maintenance support equipment *Commercial and office building construction services *General building construction *Heating and cooling and air conditioning HVAC construction and maintenance services *HVAC mechanical construction service *HVAC refrigeration construction service *Heating and cooling and air conditioning HVAC installation and maintenance service,15,20,1,1,2025-09-26,2025-09-26,,,0
