warehouse_source,country,category,subcategory,lean_fit,automation_potential,onsite_requirement,records,buyers,median_estimated_value,median_bidders
TED,CZ,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,145,73,7000000.0,
TED,DNK,Document / data,Digitization / OCR,92,UNKNOWN,UNKNOWN,143,47,15000000.0,
Ireland,Ireland,Other,Engineering services.,15,20,UNKNOWN,143,58,250000.0,
United Kingdom,United Kingdom,Other,Optician services,15,20,UNKNOWN,143,33,553000.0,
TED,SRB,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,142,58,3000000.0,
United Kingdom,United Kingdom,Other,Medical equipments,15,20,UNKNOWN,137,59,1700000.0,
United Kingdom,United Kingdom,Other,Medical consumables,15,20,UNKNOWN,137,46,4434712.0,
TED,AUT,Document / data,Digitization / OCR,92,UNKNOWN,UNKNOWN,137,73,1146350.0,
TED,HU,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,137,59,154464000.0,
TED,PT,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,136,81,403200.0,
United Kingdom,United Kingdom,Other,"Food, beverages, tobacco and related products",15,20,UNKNOWN,135,94,1250000.0,
United Kingdom,United Kingdom,Other,Event services,15,20,UNKNOWN,134,86,750000.0,
United Kingdom,United Kingdom,Other,Facilities management services,15,20,UNKNOWN,134,103,9500000.0,
United Kingdom,United Kingdom,Other,Advertising and marketing services,15,20,UNKNOWN,131,108,4000000.0,
TED,FIN,Document / data,Digitization / OCR,92,UNKNOWN,UNKNOWN,131,82,528000.0,
TED,POL,Language,Translation / transcription,90,UNKNOWN,UNKNOWN,130,70,1010394.0,
TED,ISL,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,130,35,0.0,
Ireland,Ireland,Other,Electrical installation work.,15,20,UNKNOWN,125,89,323798.5,
Ireland,Ireland,Web,Website / CMS,85,85,UNKNOWN,125,93,200000.0,
TED,AUT,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,125,67,400000.0,
United Kingdom,United Kingdom,Other,Taxi services,15,20,UNKNOWN,123,93,2100000.0,
United Kingdom,United Kingdom,Other,Construction work for multi-dwelling buildings and individual houses,15,20,UNKNOWN,123,75,8500000.0,
United Kingdom,United Kingdom,Other,Auditing services,15,20,UNKNOWN,123,104,500400.0,
TED,AT,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,122,72,575000.0,
Canada federal,Canada,Monitoring / research,Monitoring / analysis,70,70,UNKNOWN,121,56,,
Ireland,Ireland,Other,Works for complete or part construction and civil engineering work.,15,20,UNKNOWN,121,63,600000.0,
