micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Media / press monitoring,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,13,13,0,0.0,320000.0,10,28678.267499999998,54949.575,114822.0,6,1.0,66.67,10,10.0,1000.0,60.4,OTHER_ROUTE
SEO / digital marketing,TED,ITA,UNKNOWN,EUR,6,1,1,100.0,701875.0,4,258843.75,435960.0,954850.0,1,2.0,0.0,6,25.0,1875.0,60.35,OTHER_ROUTE
Market research / surveys / polling,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,12,10,1,10.0,,3,27064.575,27225.0,108612.5,0,,,3,33.33,3333.33,60.14,OPEN_BID
Data entry / document indexing,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,7,6,1,16.67,,2,72707.025,74461.35,76215.675,0,,,2,50.0,5000.0,60.07,OPEN_BID
Data entry / document indexing,TED,ITA,UNKNOWN,EUR,17,1,1,100.0,989003.85,8,459093.75,714734.6499999999,951009.23,2,3.5,0.0,4,50.0,3437.5,59.92,OTHER_ROUTE
Transcription / speech-to-text,Ireland,IRELAND,FRAMEWORK_DPS_CALLOFF,EUR,5,3,1,33.33,,5,100000.0,150000.0,275000.0,0,,,1,100.0,10000.0,59.8,OTHER_ROUTE
Website maintenance / hosting / support,TED,MLT,UNKNOWN,EUR,5,2,2,100.0,289500.0,5,123480.0,155000.0,289500.0,1,9.0,0.0,3,40.0,3600.0,59.77,OTHER_ROUTE
Website maintenance / hosting / support,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,27,10,0,0.0,308986.62,10,276915.88749999995,623052.86,1466365.0,5,1.0,80.0,7,22.22,1604.94,59.74,DIRECT_BUYER
Translation services,TED,POL,UNKNOWN,PLN,14,1,1,100.0,1827609.755,18,506055.6375,1255048.95,2348750.0,4,3.0,25.0,5,62.5,4513.89,59.73,OTHER_ROUTE
Website design / redesign / development,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,14,14,0,0.0,,10,39611.0,63750.0,151136.5975,0,,,15,7.69,729.78,59.6,DIRECT_BUYER
Website design / redesign / development,Belgium,BE,UNKNOWN,UNKNOWN,16,14,2,14.29,,0,,,,0,,,,,,59.51,OTHER_ROUTE
SEO / digital marketing,TenderNed,NETHERLANDS,UNKNOWN,UNKNOWN,10,8,2,25.0,,0,,,,0,,,3,33.33,3333.33,59.3,OTHER_ROUTE
Market research / surveys / polling,Belgium,BE,UNKNOWN,UNKNOWN,17,13,3,23.08,,0,,,,0,,,,,,59.15,OTHER_ROUTE
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,8,8,0,0.0,3341649.0,8,423290.0,976892.64,1339456.8375,8,1.0,50.0,3,75.0,5937.5,59.11,OPEN_BID
Media / press monitoring,Germany,GERMANY,OPEN_PUBLIC,EUR,22,6,0,0.0,,3,26.031999999999996,32.544,48.4,5,5.0,0.0,5,42.86,2653.06,59.06,OPEN_BID
Mailing / fulfilment / routing,Belgium,BE,UNKNOWN,UNKNOWN,19,15,3,20.0,,0,,,,0,,,,,,59.06,OTHER_ROUTE
Software licence renewal / licensing,Belgium,BE,UNKNOWN,UNKNOWN,15,11,3,27.27,,0,,,,0,,,,,,58.62,OTHER_ROUTE
Video production / editing / motion,Ireland,IRELAND,OPEN_PUBLIC,EUR,6,6,0,0.0,210000.0,5,50000.0,200000.0,220000.0,5,20.0,0.0,8,20.0,1533.33,58.62,OPEN_BID
Translation services,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,1,1,100.0,,4,50000.0,50000.0,50000.0,0,,,3,50.0,3750.0,58.62,OPEN_BID
Media / press monitoring,Belgium,BE,UNKNOWN,UNKNOWN,12,9,2,22.22,,0,,,,0,,,,,,58.51,OTHER_ROUTE
Software licence renewal / licensing,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,4,3,1,33.33,,5,104342.67,198425.0,198425.0,5,4.0,0.0,3,40.0,3600.0,58.51,OPEN_BID
Translation services,Ireland,IRELAND,FRAMEWORK_DPS_CALLOFF,EUR,7,4,1,25.0,,7,110000.0,120000.0,365000.0,1,5.0,0.0,3,50.0,3888.89,58.21,OTHER_ROUTE
SEO / digital marketing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,6,4,1,25.0,,7,50000.0,75000.0,99500.0,7,1.0,100.0,6,28.57,1836.73,58.18,DIRECT_BUYER
LMS / e-learning platform software,Germany,GERMANY,COMPETITIVE_OTHER,EUR,8,2,1,50.0,7999510.82,0,,,,4,5.0,0.0,5,20.0,2000.0,57.8,OPEN_BID
Promotional merchandise / branded goods,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,7,4,2,50.0,,36,1163.75,5166.625,15132.9225,36,3.0,47.22,6,44.44,2978.4,57.73,OTHER_ROUTE
Data entry / document indexing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,9,8,1,12.5,700000.0,8,1041084.75,25753419.475,100000000.0,6,3.0,16.67,15,12.5,939.98,57.71,OPEN_BID
Data entry / document indexing,Canada federal,CANADA,OPEN_PUBLIC,CAD,10,10,0,0.0,,1,599537.14,599537.14,599537.14,0,,,1,100.0,10000.0,57.7,OPEN_BID
Commercial printing / print production,TED,MLT,UNKNOWN,EUR,9,1,1,100.0,123227.0,3,36885.130000000005,59974.26,1278237.13,2,0.5,50.0,1,100.0,10000.0,57.64,OTHER_ROUTE
Market research / surveys / polling,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,9,6,2,33.33,,3,423418.5,696837.0,848418.5,0,,,3,33.33,3333.33,57.51,DIRECT_BUYER
Document scanning / digitization / OCR,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,7,6,1,16.67,15000000.0,1,422700.0,422700.0,422700.0,1,1.0,100.0,1,100.0,10000.0,57.47,OTHER_ROUTE
Annual report / publication layout-production,France,FRANCE,COMPETITIVE_OTHER,EUR,7,7,0,0.0,,2,20734.375,22193.75,23653.125,0,,,2,50.0,5000.0,57.2,OPEN_BID
Market research / surveys / polling,Germany,GERMANY,OPEN_PUBLIC,EUR,19,5,0,0.0,,2,336961.46499999997,561574.31,786187.155,2,3.5,0.0,3,33.33,3333.33,56.84,OPEN_BID
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,4,3,1,33.33,,2,25422.25,28144.5,30866.75,0,,,4,25.0,2500.0,56.81,DIRECT_BUYER
SEO / digital marketing,Belgium,BE,UNKNOWN,UNKNOWN,14,13,1,7.69,,0,,,,0,,,,,,56.22,OTHER_ROUTE
Promotional merchandise / branded goods,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,5,1,1,100.0,,3,167892.575,194083.15,218805.85499999998,0,,,2,66.67,5555.56,56.11,OPEN_BID
WordPress / Drupal / CMS implementation,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,5,5,0,0.0,400000.0,4,86250.0025,106958.33499999999,115231.0,2,12.0,0.0,6,25.0,2083.33,56.08,OPEN_BID
LMS / e-learning platform software,Canada federal,CANADA,OPEN_PUBLIC,CAD,10,7,1,14.29,,0,,,,0,,,,,,55.98,OPEN_BID
Graphic design / DTP / visual identity,TED,NOR,UNKNOWN,NOK,7,1,1,100.0,4800000.0,0,,,,1,8.0,0.0,2,50.0,5000.0,55.9,OTHER_ROUTE
Annual report / publication layout-production,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,8,8,0,0.0,1125000.0,31,10000.0,20000.0,162500000.0,31,22.5,70.97,153,6.45,303.52,55.69,OPEN_BID
Translation services,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,10,10,0,0.0,,12,19000.0,39000.0,109999.25,0,,,10,23.08,1242.6,55.65,DIRECT_BUYER
WordPress / Drupal / CMS implementation,Belgium,BE,UNKNOWN,UNKNOWN,7,4,1,25.0,,0,,,,0,,,,,,55.61,OTHER_ROUTE
Video production / editing / motion,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,3,1,1,100.0,,1,62850.16,62850.16,62850.16,0,,,1,100.0,10000.0,55.43,OPEN_BID
Translation services,TED,NOR,UNKNOWN,UNKNOWN,9,1,1,100.0,,0,,,,2,1.5,0.0,4,33.33,2777.78,55.34,OTHER_ROUTE
Data entry / document indexing,France,FRANCE,OPEN_PUBLIC,EUR,6,6,0,0.0,,1,193000.0,193000.0,193000.0,0,,,1,100.0,10000.0,55.32,OPEN_BID
Social media / community management,Belgium,BE,UNKNOWN,UNKNOWN,11,9,1,11.11,,0,,,,0,,,,,,55.16,OTHER_ROUTE
Commercial printing / print production,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,6,5,1,20.0,,8,202500.0,250000.0,278412.45,0,,,8,22.22,1358.02,55.15,DIRECT_BUYER
Website maintenance / hosting / support,TenderNed,NETHERLANDS,UNKNOWN,UNKNOWN,9,8,1,12.5,,0,,,,0,,,2,50.0,5000.0,54.91,OTHER_ROUTE
Translation services,TED,AUT,UNKNOWN,EUR,4,2,1,50.0,760000.0,3,1000000.0,1000000.0,1000000.0,0,,,3,33.33,3333.33,54.88,OTHER_ROUTE
Promotional merchandise / branded goods,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,15,15,0,0.0,400000.0,17,300000.0,700000.0,1950000.0,17,12.0,0.0,18,17.65,800.46,54.75,OPEN_BID
Translation services,TED,NOR,UNKNOWN,NOK,14,1,1,100.0,12650000.0,5,12500000.0,12800000.0,15000000.0,9,6.0,11.11,4,60.0,4200.0,54.73,OTHER_ROUTE
Annual report / publication layout-production,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,3,1,1,100.0,,3,89983.745,90765.29,91185.81,3,2.0,33.33,2,66.67,5555.56,54.73,OTHER_ROUTE
Commercial printing / print production,TED,NOR,UNKNOWN,UNKNOWN,13,1,1,100.0,,0,,,,1,5.0,0.0,1,100.0,10000.0,54.68,OTHER_ROUTE
Promotional merchandise / branded goods,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,7,7,0,0.0,,11,34866.58,67921.48,74241.175,11,1.0,100.0,7,18.18,1570.25,54.34,DIRECT_BUYER
WordPress / Drupal / CMS implementation,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,5,5,0,0.0,,2,313410.9375,350190.625,386970.3125,0,,,2,50.0,5000.0,54.08,OPEN_BID
Annual report / publication layout-production,Belgium,BE,UNKNOWN,UNKNOWN,6,5,1,20.0,,0,,,,0,,,,,,54.03,OTHER_ROUTE
Transcription / speech-to-text,TED,NOR,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,0,,,1,100.0,10000.0,53.91,OTHER_ROUTE
Software licence renewal / licensing,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,2,1,50.0,7000000.0,4,556553.97,1414272.5,3407055.0,1,6.0,0.0,2,75.0,6250.0,53.88,OPEN_BID
Data entry / document indexing,TED,IT,UNKNOWN,EUR,4,3,1,33.33,936000.0,2,315822.58499999996,522548.39,729274.195,2,1.5,50.0,2,50.0,5000.0,53.71,OTHER_ROUTE
Document scanning / digitization / OCR,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,5,2,1,50.0,502292.0,3,888836.01,1282000.0,1282000.0,2,1.0,100.0,2,50.0,5000.0,53.47,DIRECT_BUYER
Media / press monitoring,TED,NOR,UNKNOWN,NOK,8,1,1,100.0,6000000.0,4,1925000.0,2650000.0,4575000.0,3,2.0,0.0,2,87.5,7812.5,53.24,OTHER_ROUTE
Website maintenance / hosting / support,TED,NOR,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,1,2.0,0.0,1,100.0,10000.0,53.01,OTHER_ROUTE
Software licence renewal / licensing,TED,NOR,UNKNOWN,NOK,23,1,1,100.0,75000000.0,6,13500000.0,47500000.0,158750000.0,4,2.5,25.0,1,100.0,10000.0,52.96,OTHER_ROUTE
Website maintenance / hosting / support,TED,NOR,UNKNOWN,NOK,8,1,1,100.0,5800000.0,2,6500000.0,7000000.0,7500000.0,1,5.0,0.0,2,66.67,5555.56,52.54,OTHER_ROUTE
Translation services,Germany,GERMANY,UNKNOWN,EUR,40,2,0,0.0,2200000.0,0,,,,0,,,,,,52.21,OTHER_ROUTE
Promotional merchandise / branded goods,Ireland,IRELAND,OPEN_PUBLIC,EUR,6,6,0,0.0,625000.0,3,471000.0,500000.0,575000.0,3,10.0,0.0,6,55.56,3703.7,52.18,OPEN_BID
Website design / redesign / development,TED,NOR,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,0,,,,,,52.11,OTHER_ROUTE
Document scanning / digitization / OCR,TED,ITA,UNKNOWN,EUR,3,1,1,100.0,371685.0,1,235425.28,235425.28,235425.28,1,1.0,100.0,1,100.0,10000.0,51.93,OTHER_ROUTE
Graphic design / DTP / visual identity,TED,NOR,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,7,1.0,28.57,2,50.0,5000.0,51.92,OTHER_ROUTE
Social media / community management,Germany,GERMANY,COMPETITIVE_OTHER,EUR,7,7,0,0.0,268000.0,3,425.63,710.08,3810355.04,5,4.5,0.0,4,40.0,2800.0,51.8,OPEN_BID
Media / press monitoring,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,6,6,0,0.0,,8,33633.75,58291.840000000004,74757.82250000001,8,2.5,25.0,4,37.5,2812.5,51.72,OTHER_ROUTE
Document scanning / digitization / OCR,Belgium,BE,UNKNOWN,UNKNOWN,4,3,1,33.33,,0,,,,0,,,,,,51.61,OTHER_ROUTE
Video production / editing / motion,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,4,4,0,0.0,,4,81600.0,85050.0,189875.0,4,13.0,0.0,3,50.0,3750.0,51.33,OPEN_BID
Document scanning / digitization / OCR,TED,ESP,UNKNOWN,EUR,5,1,1,100.0,247900.0,0,,,,3,0.0,0.0,,,,51.21,OTHER_ROUTE
Website maintenance / hosting / support,TenderNed,NETHERLANDS,UNKNOWN,EUR,5,5,0,0.0,549070.0,4,450000.0,525000.0,557234.0,0,,,5,20.0,2000.0,50.98,OTHER_ROUTE
Video production / editing / motion,TED,AUT,UNKNOWN,UNKNOWN,4,2,1,50.0,,0,,,,5,6.75,0.0,3,60.0,4400.0,50.98,OTHER_ROUTE
Website design / redesign / development,TED,NOR,UNKNOWN,NOK,4,1,1,100.0,4800000.0,2,1.0,1.0,1.0,0,,,1,100.0,10000.0,50.62,OTHER_ROUTE
Subtitling / captioning,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,3,3,0,0.0,15000.0,1,240000.0,240000.0,240000.0,1,7.0,0.0,4,66.67,4814.81,50.52,OPEN_BID
Social media / community management,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,6,6,0,0.0,,5,26950.0,27450.0,63588.8,0,,,5,33.33,2222.22,50.46,DIRECT_BUYER
Software licence renewal / licensing,TED,NOR,UNKNOWN,UNKNOWN,8,1,1,100.0,,0,,,,1,2.0,0.0,2,50.0,5000.0,50.14,OTHER_ROUTE
SEO / digital marketing,TED,MKD,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,0,,,,,,50.12,OTHER_ROUTE
Graphic design / DTP / visual identity,TED,LUX,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,6,2.0,16.67,3,33.33,3333.33,49.63,OTHER_ROUTE
Social media / community management,TED,SWE,UNKNOWN,SEK,4,1,1,100.0,15000000.0,1,3379000.0,3379000.0,3379000.0,2,3.5,0.0,2,50.0,5000.0,49.62,OTHER_ROUTE
Annual report / publication layout-production,Ireland,IRELAND,OPEN_PUBLIC,EUR,3,3,0,0.0,120000.0,3,33000.0,38000.0,502492.0,3,6.0,33.33,3,33.33,3333.33,49.62,OPEN_BID
WordPress / Drupal / CMS implementation,Canada federal,CANADA,OPEN_PUBLIC,CAD,3,3,0,0.0,,1,101089.8,101089.8,101089.8,0,,,1,100.0,10000.0,49.62,OPEN_BID
Annual report / publication layout-production,Germany,GERMANY,OPEN_PUBLIC,EUR,9,0,0,0.0,,0,,,,0,,,,,,49.61,OPEN_BID
SEO / digital marketing,TED,AUT,UNKNOWN,UNKNOWN,3,2,1,50.0,,0,,,,1,3.0,0.0,3,33.33,3333.33,49.59,OTHER_ROUTE
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,4,4,0,0.0,,5,48000.0,48000.0,73188.0,5,1.5,60.0,4,40.0,2800.0,49.53,OTHER_ROUTE
Video production / editing / motion,TED,NOR,UNKNOWN,NOK,6,1,1,100.0,11000000.0,2,28250000.0,50500000.0,72750000.0,3,7.0,33.33,3,50.0,3750.0,49.45,OTHER_ROUTE
Media / press monitoring,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,4,4,0,0.0,,2,43851.0,50034.0,56217.0,0,,,4,25.0,2500.0,49.33,OPEN_BID
Document scanning / digitization / OCR,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,4,4,0,0.0,146000000.0,3,373969.54,534939.08,52791122.54,3,6.0,0.0,3,33.33,3333.33,49.33,OPEN_BID
Media / press monitoring,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,4,0,0.0,350000.0,2,50900.0,51800.0,52700.0,1,4.0,0.0,3,50.0,3750.0,49.33,OPEN_BID
WordPress / Drupal / CMS implementation,Germany,GERMANY,COMPETITIVE_OTHER,EUR,9,5,0,0.0,420168.07,1,10106630.63,10106630.63,10106630.63,1,3.0,0.0,3,33.33,3333.33,49.32,OPEN_BID
Video production / editing / motion,TED,MLT,UNKNOWN,EUR,4,1,1,100.0,503750.0,0,,,,0,,,1,100.0,10000.0,49.22,OTHER_ROUTE
Media / press monitoring,TED,SWE,UNKNOWN,EUR,4,1,1,100.0,850000.0,0,,,,0,,,1,100.0,10000.0,49.22,OTHER_ROUTE
Media / press monitoring,TED,NOR,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,0,,,,,,49.22,OTHER_ROUTE
Website design / redesign / development,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,6,6,0,0.0,,2,158250.0,190500.0,222750.0,0,,,3,33.33,3333.33,49.12,DIRECT_BUYER
Video production / editing / motion,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,5,5,0,0.0,1025000.0,2,75056.25,123712.5,172368.75,2,2.0,50.0,2,50.0,5000.0,48.78,OTHER_ROUTE
Video production / editing / motion,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,5,1,1,100.0,,0,,,,2,1.0,100.0,1,100.0,10000.0,48.71,DIRECT_BUYER
Document scanning / digitization / OCR,TED,POL,UNKNOWN,UNKNOWN,3,2,1,50.0,,0,,,,0,,,,,,48.69,OTHER_ROUTE
Graphic design / DTP / visual identity,Germany,GERMANY,UNKNOWN,EUR,18,0,0,0.0,,0,,,,0,,,,,,48.64,OTHER_ROUTE
Promotional merchandise / branded goods,Belgium,BE,UNKNOWN,UNKNOWN,6,5,1,20.0,,0,,,,0,,,,,,48.63,OTHER_ROUTE
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,4,4,0,0.0,,7,59250.0,66708.5,67892.73999999999,7,1.5,57.14,4,28.57,2653.06,48.63,OTHER_ROUTE
Web accessibility / WCAG audit-remediation,Ireland,IRELAND,OPEN_PUBLIC,EUR,3,3,0,0.0,650000.0,2,987500.0,1325000.0,1662500.0,2,5.5,0.0,2,50.0,5000.0,48.52,OPEN_BID
LMS / e-learning platform software,TED,NOR,UNKNOWN,NOK,6,1,1,100.0,2650000.0,3,1879250.0,2796000.0,2798000.0,1,5.0,0.0,2,66.67,5555.56,48.35,OTHER_ROUTE
LMS / e-learning platform software,TED,CZE,UNKNOWN,CZK,3,1,1,100.0,4958677.0,6,275000.0,365000.0,605000.0,4,1.5,75.0,1,100.0,10000.0,48.33,OTHER_ROUTE
Software licence renewal / licensing,France,FRANCE,UNKNOWN,EUR,6,5,1,20.0,,4,1786883.5,2491255.5,2750000.0,0,,,2,50.0,5000.0,48.13,OTHER_ROUTE
Translation services,TED,CHE,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,27,8.0,11.11,12,26.05,1413.05,48.02,OTHER_ROUTE
Website design / redesign / development,TED,CHE,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,3,9.0,0.0,2,66.67,5555.56,47.83,OTHER_ROUTE
SaaS / cloud software subscription,Ireland,IRELAND,OPEN_PUBLIC,EUR,4,4,0,0.0,850000.0,2,120443.5,140887.0,161330.5,2,3.0,50.0,2,50.0,5000.0,47.73,OPEN_BID
Document-management software licensing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,4,4,0,0.0,,2,220262.5,340765.0,461267.5,2,5.0,0.0,2,50.0,5000.0,47.73,OPEN_BID
WordPress / Drupal / CMS implementation,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,4,4,0,0.0,,3,89226.39499999999,106000.0,126200.0,2,2.5,0.0,3,33.33,3333.33,47.63,OTHER_ROUTE
Website maintenance / hosting / support,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,3,3,0,0.0,225000.0,2,212500.0,225000.0,237500.0,2,8.0,0.0,1,100.0,10000.0,47.62,OPEN_BID
Website maintenance / hosting / support,TED,NO,UNKNOWN,NOK,3,2,1,50.0,10000000.0,1,8000000.0,8000000.0,8000000.0,1,5.0,0.0,1,100.0,10000.0,47.49,OTHER_ROUTE
Web accessibility / WCAG audit-remediation,Germany,GERMANY,OPEN_PUBLIC,EUR,5,1,0,0.0,,0,,,,0,,,,,,47.41,OPEN_BID
Data entry / document indexing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,5,5,0,0.0,,7,31211.0,49920.0,147919.79,7,1.0,100.0,5,28.57,2244.9,47.1,DIRECT_BUYER
SaaS / cloud software subscription,Germany,GERMANY,OPEN_PUBLIC,EUR,15,1,0,0.0,,0,,,,1,3.0,0.0,1,100.0,10000.0,47.08,OPEN_BID
Media / press monitoring,TED,SWE,UNKNOWN,SEK,3,1,1,100.0,8000000.0,0,,,,0,,,,,,46.93,OTHER_ROUTE
Promotional merchandise / branded goods,France,FRANCE,COMPETITIVE_OTHER,EUR,7,7,0,0.0,,0,,,,0,,,,,,46.8,OPEN_BID
Mailing / fulfilment / routing,Ireland,IRELAND,OPEN_PUBLIC,EUR,4,4,0,0.0,787500.0,1,1250000.0,1250000.0,1250000.0,1,6.0,0.0,1,100.0,10000.0,46.63,OPEN_BID
Video production / editing / motion,Germany,GERMANY,UNKNOWN,EUR,14,2,0,0.0,,0,,,,1,25.0,0.0,1,100.0,10000.0,46.58,OTHER_ROUTE
SEO / digital marketing,Germany,GERMANY,UNKNOWN,EUR,12,2,0,0.0,,0,,,,0,,,1,100.0,10000.0,46.54,OTHER_ROUTE
Data entry / document indexing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,8,8,0,0.0,1440000.0,1,3296624.0,3296624.0,3296624.0,1,1.0,100.0,1,100.0,10000.0,46.51,OTHER_ROUTE
Market research / surveys / polling,TenderNed,NETHERLANDS,UNKNOWN,UNKNOWN,3,2,1,50.0,,0,,,,0,,,,,,45.99,OTHER_ROUTE
Website design / redesign / development,Germany,GERMANY,UNKNOWN,EUR,13,1,0,0.0,,3,1.0,1.0,1.0,3,2.0,33.33,1,100.0,10000.0,45.88,OTHER_ROUTE
LMS / e-learning platform software,TED,NOR,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,1,8.0,0.0,,,,45.62,OTHER_ROUTE
Software licence renewal / licensing,TED,MKD,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,0,,,,,,45.62,OTHER_ROUTE
Annual report / publication layout-production,France,FRANCE,UNKNOWN,EUR,5,5,0,0.0,,0,,,,0,,,,,,45.58,OTHER_ROUTE
Annual report / publication layout-production,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,4,4,0,0.0,,6,29230.275,30000.0,63750.0,6,1.0,100.0,4,33.33,2777.78,45.13,DIRECT_BUYER
Commercial printing / print production,TED,LUX,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,0,,,,,,45.13,OTHER_ROUTE
Promotional merchandise / branded goods,TED,NOR,UNKNOWN,NOK,4,1,1,100.0,4000000.0,1,4000000.0,4000000.0,4000000.0,2,6.0,0.0,1,100.0,10000.0,45.12,OTHER_ROUTE
Translation services,TED,PL,UNKNOWN,PLN,4,4,0,0.0,720475.965,6,287756.2525,633004.075,1091644.51,6,1.5,33.33,8,50.0,3111.11,44.73,OTHER_ROUTE
Video production / editing / motion,France,FRANCE,COMPETITIVE_OTHER,EUR,4,4,0,0.0,,0,,,,0,,,,,,44.33,OPEN_BID
Market research / surveys / polling,TED,DNK,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,0,,,,,,44.23,OTHER_ROUTE
Video production / editing / motion,France,FRANCE,UNKNOWN,EUR,4,4,0,0.0,,0,,,,0,,,9,11.11,1111.11,43.94,OTHER_ROUTE
Media / press monitoring,TED,ITA,UNKNOWN,EUR,3,1,1,100.0,821311.47,1,6890000.0,6890000.0,6890000.0,1,4.0,0.0,1,100.0,10000.0,43.93,OTHER_ROUTE
Web accessibility / WCAG audit-remediation,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,3,3,0,0.0,,0,,,,0,,,,,,43.52,OPEN_BID
Software licence renewal / licensing,TED,LUX,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,1,1.0,100.0,1,100.0,10000.0,43.33,OTHER_ROUTE
Promotional merchandise / branded goods,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,5,5,0,0.0,,4,525250.0,658500.0,875000.0,4,4.0,50.0,3,50.0,3750.0,43.18,OTHER_ROUTE
Website maintenance / hosting / support,TED,AUT,UNKNOWN,UNKNOWN,4,4,0,0.0,,0,,,,5,1.0,100.0,3,84.62,7278.11,42.63,OTHER_ROUTE
Web accessibility / WCAG audit-remediation,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,3,3,0,0.0,,3,25105.0,30210.0,48438.5,0,,,3,33.33,3333.33,42.52,DIRECT_BUYER
Media / press monitoring,Quebec,CANADA - QUEBEC,UNKNOWN,CAD,3,3,0,0.0,,4,287395.99,316332.95999999996,345269.93,4,3.0,0.0,2,50.0,5000.0,42.32,OTHER_ROUTE
SaaS / cloud software subscription,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,4,4,0,0.0,2334808.0,2,124425.25,131283.5,138141.75,2,1.0,100.0,3,33.33,3333.33,42.23,OTHER_ROUTE
Promotional merchandise / branded goods,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,3,3,0,0.0,,3,115000.0,140000.0,270000.0,2,2.5,50.0,2,66.67,5555.56,42.22,OPEN_BID
LMS / e-learning platform software,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,3,3,0,0.0,187500.0,1,211000.0,211000.0,211000.0,1,12.0,0.0,1,100.0,10000.0,42.22,OPEN_BID
SEO / digital marketing,TED,ES,UNKNOWN,EUR,4,4,0,0.0,319174.94,0,,,,0,,,,,,41.73,OTHER_ROUTE
WordPress / Drupal / CMS implementation,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,3,3,0,0.0,,3,98500.0,140000.0,403986.0,0,,,3,33.33,3333.33,41.62,DIRECT_BUYER
