micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Video production / editing / motion,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,8,7,1,14.29,500000.0,5,21666.0,36000.0,49249.3,1,7.0,0.0,11,14.29,1265.31,63.95,OPEN_BID
Annual report / publication layout-production,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,5,3,2,66.67,,2,95077.14,95961.01000000001,96844.88,0,,,2,50.0,5000.0,63.9,OPEN_BID
Mailing / fulfilment / routing,France,FRANCE,COMPETITIVE_OTHER,EUR,22,21,1,4.76,,2,56181.88,56457.259999999995,56732.64,0,,,2,66.67,5555.56,63.81,OPEN_BID
Market research / surveys / polling,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,12,10,2,20.0,1500000.0,6,60175.0,166500.0,1175750.0,4,5.0,0.0,7,50.0,3055.56,63.74,OPEN_BID
Software licence renewal / licensing,France,FRANCE,OPEN_PUBLIC,EUR,20,19,1,5.26,,6,806000.5599999999,985000.0,1142500.0,0,,,5,33.33,2222.22,63.71,OPEN_BID
Mailing / fulfilment / routing,France,FRANCE,UNKNOWN,EUR,26,24,2,8.33,,15,392500.0,575666.0,1311503.5,0,,,6,16.67,1666.67,63.39,OTHER_ROUTE
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,28,26,2,7.69,,24,27764.46,76306.25,178730.0,0,,,27,6.67,400.0,63.22,DIRECT_BUYER
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,36,36,0,0.0,340000.0,23,82655.76000000001,180000.0,390984.5,21,9.5,0.0,21,12.0,568.0,63.17,OPEN_BID
SaaS / cloud software subscription,Canada federal,CANADA,OPEN_PUBLIC,CAD,9,2,1,50.0,,1,43907.94,43907.94,43907.94,0,,,1,100.0,10000.0,63.1,OPEN_BID
Mailing / fulfilment / routing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,9,3,2,66.67,,11,23876.33,37891.17,56796.78,11,1.0,100.0,5,45.45,2892.56,62.99,DIRECT_BUYER
Video production / editing / motion,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,9,7,2,28.57,,8,61324.015,70000.0,99500.0,0,,,7,25.0,1562.5,62.93,DIRECT_BUYER
Document scanning / digitization / OCR,France,FRANCE,OPEN_PUBLIC,EUR,5,4,1,25.0,,1,80000.0,80000.0,80000.0,0,,,1,100.0,10000.0,62.32,OPEN_BID
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,12,11,1,9.09,1892313.0,2,225929.7925,419342.085,612754.3775000001,1,7.0,0.0,3,33.33,3333.33,62.08,OTHER_ROUTE
Translation services,TED,LUX,UNKNOWN,EUR,29,1,1,100.0,7000000.0,3,6.61,12.56,13.14,0,,,2,66.67,5555.56,62.01,OTHER_ROUTE
SEO / digital marketing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,14,14,0,0.0,10000000.0,8,46937.5,125750.0,725943.75,6,2.0,16.67,10,10.0,1000.0,61.92,OTHER_ROUTE
Social media / community management,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,13,12,1,8.33,12000000.0,5,19656.0,45000.0,87491.25,4,2.0,50.0,5,37.5,2500.0,61.9,OTHER_ROUTE
Translation services,TED,ESP,UNKNOWN,UNKNOWN,25,1,1,100.0,,0,,,,15,4.0,26.67,6,52.94,3356.4,61.43,OTHER_ROUTE
SEO / digital marketing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,13,12,1,8.33,,10,40008.75,50500.0,136657.59999999998,0,,,14,13.33,755.56,61.34,DIRECT_BUYER
Mailing / fulfilment / routing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,11,9,2,22.22,2018125.0,4,750000.0,885500.0,1008804.75,3,1.0,100.0,6,16.67,1666.67,61.23,OTHER_ROUTE
Subtitling / captioning,Canada federal,CANADA,OPEN_PUBLIC,CAD,8,8,0,0.0,,3,266950.0,500000.0,500000.0,0,,,4,25.0,2500.0,61.11,OPEN_BID
Web accessibility / WCAG audit-remediation,Germany,GERMANY,COMPETITIVE_OTHER,EUR,5,4,1,25.0,,1,1200520.0,1200520.0,1200520.0,2,4.0,0.0,3,33.33,3333.33,61.02,OPEN_BID
Software licence renewal / licensing,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,5,3,1,33.33,,5,354773.76,374774.43,415884.02,0,,,5,20.0,2000.0,60.9,OPEN_BID
Commercial printing / print production,TED,NOR,UNKNOWN,NOK,29,1,1,100.0,7000000.0,9,3200000.0,4500000.0,10000000.0,13,3.0,0.0,4,66.67,5108.02,60.88,OTHER_ROUTE
Mailing / fulfilment / routing,Canada federal,CANADA,OPEN_PUBLIC,CAD,8,6,1,16.67,,2,223996.69999999998,252347.25,280697.8,0,,,2,50.0,5000.0,60.82,OPEN_BID
Transcription / speech-to-text,France,FRANCE,UNKNOWN,EUR,9,8,1,12.5,,4,275000.0,380000.0,700000.0,0,,,1,100.0,10000.0,60.81,OTHER_ROUTE
Promotional merchandise / branded goods,Canada federal,CANADA,OPEN_PUBLIC,CAD,4,2,1,50.0,,7,109228.91500000001,186098.54,258220.58000000002,0,,,7,14.29,1428.57,60.73,OPEN_BID
Document scanning / digitization / OCR,Germany,GERMANY,COMPETITIVE_OTHER,EUR,11,7,1,14.29,320000.0,5,1.0,1.0,800640.0,3,1.0,100.0,5,25.0,2187.5,60.48,OPEN_BID
